question_id,question,ground_truth,rag_type,rag_name,answer,contexts_count,faithfulness,answer_relevancy,context_precision,context_recall,average_score,input_tokens,output_tokens,total_tokens,cost,execution_time
1,¿En qué momento y quien debe reevaluar el riesgo clínico de una paciente con embarazo de curso normal?,El Ginecobstetra en la semana 28 - 30 y semana 34 – 36.,hyde,HyDE RAG (Hypothetical Documents),"La reevaluación del riesgo clínico en una paciente con embarazo de curso normal debe realizarse de manera continua a lo largo del control prenatal. Según el contexto proporcionado, la evaluación del riesgo psicosocial y biológico es un componente esencial desde la consulta de inscripción al control prenatal (Documento 4). Esta evaluación inicial sirve como tamizaje para determinar el profesional adecuado para llevar a cabo el primer control prenatal y para identificar la necesidad de cuidados adicionales por un equipo especializado.

Además, se recomienda que en cada trimestre del embarazo se evalúen factores como el estrés materno crónico, la ansiedad, los trastornos del sueño y el apoyo social, así como realizar un tamizaje para la depresión materna (Documento 5). Esto sugiere que la reevaluación del riesgo clínico no es un evento único, sino un proceso continuo que debe adaptarse a las necesidades cambiantes de la gestante a lo largo del embarazo.

En cuanto a quién debe realizar esta reevaluación, en embarazos de bajo riesgo o de curso normal, el control prenatal puede ser llevado a cabo por profesionales en enfermería capacitados o por médicos generales, siempre que se garantice la calidad del cuidado (Documento 1). Sin embargo, si durante el seguimiento se identifican factores de riesgo que complican el embarazo, se debe considerar la remisión a un especialista para garantizar un manejo adecuado (Documento 5).

Por lo tanto, la reevaluación del riesgo clínico debe ser un proceso continuo realizado por el profesional de salud a cargo del control prenatal, con la posibilidad de involucrar a un equipo especializado si se identifican riesgos adicionales.",5,0.8462,0.959,0.5333,0.0,0.585,1003,925,1928,0.006307,11.103
1,¿En qué momento y quien debe reevaluar el riesgo clínico de una paciente con embarazo de curso normal?,El Ginecobstetra en la semana 28 - 30 y semana 34 – 36.,simple,Simple Semantic RAG,"La reevaluación del riesgo clínico en una paciente con embarazo de curso normal debe realizarse en varios momentos clave durante el control prenatal. Según el contexto proporcionado, se recomienda que todas las gestantes con embarazo de curso normal sean tamizadas para anemia al momento de la inscripción al control prenatal y nuevamente en la semana 28 de gestación. Esto permite disponer de tiempo suficiente para el tratamiento de la anemia si es necesario.

Además, las gestantes de bajo riesgo deben recibir una valoración de riesgo psicosocial en el momento de la inscripción al control prenatal y luego en cada trimestre. Si se identifica algún riesgo psicosocial, se debe remitir a la gestante a una consulta especializada para garantizar la continuidad del cuidado con el grupo a cargo del control.

En cuanto a quién debe realizar estas evaluaciones, las gestantes clasificadas como de bajo riesgo pueden desarrollar su control prenatal con una enfermera o un médico general. Sin embargo, si se identifica un riesgo que requiere atención especializada, se debe remitir a la gestante a un equipo especializado multidisciplinario.

Por lo tanto, la reevaluación del riesgo clínico en un embarazo de curso normal debe ser un proceso continuo durante el control prenatal, con evaluaciones específicas para anemia y riesgo psicosocial, realizadas por profesionales de salud adecuados según el nivel de riesgo identificado.",5,0.9167,0.9798,0.0,0.0,0.474,752,268,1020,0.00456,5.932
1,¿En qué momento y quien debe reevaluar el riesgo clínico de una paciente con embarazo de curso normal?,El Ginecobstetra en la semana 28 - 30 y semana 34 – 36.,hybrid,Hybrid RAG (BM25 + Semantic),"Para reevaluar el riesgo clínico de una paciente con un embarazo de curso normal, es importante seguir las recomendaciones establecidas en el contexto médico proporcionado. Según el Documento 4, las pacientes con embarazos de bajo riesgo deben desarrollar su control prenatal con una enfermera o un médico general. Esto sugiere que la reevaluación del riesgo clínico en embarazos de curso normal puede ser realizada por estos profesionales de salud durante las visitas de control prenatal.

El contexto también menciona la importancia de evaluar los factores psicosociales como determinantes de desenlaces adversos del embarazo (Documento 5). Aunque no hay un consenso sobre cómo explorar estos factores, se sugiere que sean evaluados rutinariamente durante el control prenatal. Esto implica que, además de las evaluaciones médicas estándar, se debe considerar una evaluación psicosocial para una reevaluación integral del riesgo.

En cuanto al momento de la reevaluación, el Documento 1 recomienda tamizar para anemia al momento de la inscripción al control prenatal y nuevamente en la semana 28 de gestación. Aunque esto se refiere específicamente a la anemia, sugiere un enfoque de reevaluación en momentos clave del embarazo.

En resumen, la reevaluación del riesgo clínico en un embarazo de curso normal debe ser realizada por una enfermera o un médico general durante las visitas de control prenatal, con un enfoque en la evaluación tanto médica como psicosocial. Se deben considerar momentos clave como la inscripción al control prenatal y la semana 28 de gestación para realizar evaluaciones específicas, como el tamizaje de anemia.",5,0.9167,0.9698,0.0,0.0,0.472,913,323,1236,0.005513,8.141
1,¿En qué momento y quien debe reevaluar el riesgo clínico de una paciente con embarazo de curso normal?,El Ginecobstetra en la semana 28 - 30 y semana 34 – 36.,rewriter,Rewriter RAG (Multi-Query),"1. Respuesta directa a la pregunta:
El riesgo clínico de una paciente con embarazo de curso normal debe ser reevaluado en el momento de la inscripción al control prenatal y luego en cada trimestre.

2. Detalles específicos del contexto:
La reevaluación del riesgo debe incluir una valoración de riesgo psicosocial y biológico, y se recomienda que las gestantes de bajo riesgo reciban esta valoración en el momento de la inscripción al control prenatal y luego en cada trimestre.

3. Información relacionada relevante:
Si se identifica un riesgo psicosocial, se debe remitir a la paciente a una consulta especializada para garantizar la continuidad con el grupo a cargo del control.

4. Limitaciones de la información disponible:
No se especifica en el contexto quién exactamente debe realizar la reevaluación, pero se sugiere que las gestantes de bajo riesgo pueden desarrollar su control prenatal con una enfermera o médico general.",8,0.5556,0.8865,0.1964,0.0,0.41,383,211,594,0.000508,12.183
2,Cual es la semana ideal para iniciar los controles prenatales,"Se recomienda realizar el primer control prenatal en el primer trimestre, idealmente antes de la semana 10 de gestación.",simple,Simple Semantic RAG,"La semana ideal para iniciar los controles prenatales es antes de la semana 12 de embarazo. Según la información proporcionada en los documentos, la Organización Mundial de la Salud (OMS) recomienda que el primer control prenatal se realice preferentemente antes de esta semana. Esto permite una supervisión efectiva de la salud de la mujer durante el embarazo y facilita la detección precoz de riesgos modificables, como patologías infecciosas o trastornos metabólicos, lo cual es crucial para intervenir a tiempo y asegurar un embarazo saludable. Además, la primera visita debe durar entre 30 a 40 minutos para realizar un examen completo de acuerdo a las normas establecidas para la primera visita y las subsecuentes.",5,1.0,0.9731,0.8875,1.0,0.965,683,143,826,0.003138,2.754
2,Cual es la semana ideal para iniciar los controles prenatales,"Se recomienda realizar el primer control prenatal en el primer trimestre, idealmente antes de la semana 10 de gestación.",hyde,HyDE RAG (Hypothetical Documents),"La información proporcionada en los documentos indica que el primer control prenatal debe realizarse preferentemente antes de la semana 12 de embarazo. Tanto la Organización Mundial de la Salud (OMS) como el consenso de expertos recomiendan que este primer control se lleve a cabo en este período para asegurar una supervisión efectiva de la salud de la mujer durante el embarazo. Además, se sugiere que la duración de esta primera visita sea de entre 30 a 40 minutos para poder realizar un examen completo y establecer las bases para el seguimiento del embarazo. Por lo tanto, la semana ideal para iniciar los controles prenatales es antes de la semana 12 de gestación.",5,0.625,0.9008,1.0,1.0,0.881,916,695,1611,0.004099,8.832
2,Cual es la semana ideal para iniciar los controles prenatales,"Se recomienda realizar el primer control prenatal en el primer trimestre, idealmente antes de la semana 10 de gestación.",rewriter,Rewriter RAG (Multi-Query),El primer control prenatal debe realizarse preferentemente antes de la semana 12 de embarazo.,8,1.0,0.902,0.4405,1.0,0.836,353,239,592,0.000535,5.489
2,Cual es la semana ideal para iniciar los controles prenatales,"Se recomienda realizar el primer control prenatal en el primer trimestre, idealmente antes de la semana 10 de gestación.",hybrid,Hybrid RAG (BM25 + Semantic),"La información proporcionada en los documentos sugiere que el primer control prenatal debe realizarse preferentemente antes de la semana 12 de embarazo. Esto es consistente con las recomendaciones de la Organización Mundial de la Salud (OMS), que enfatiza la importancia de iniciar el control prenatal lo más temprano posible, idealmente antes de la semana 12, para asegurar una adecuada supervisión de la salud de la mujer durante el embarazo.

Además, se menciona que, independientemente de la edad gestacional en el momento de la primera consulta, todas las embarazadas deben ser examinadas de acuerdo a las normas para la primera visita y las visitas subsecuentes. La duración recomendada para la primera visita es de entre 30 a 40 minutos, lo que permite una evaluación exhaustiva de la salud de la gestante y la identificación de posibles riesgos.

Por lo tanto, la semana ideal para iniciar los controles prenatales es antes de la semana 12 de gestación. Esto permite una detección precoz de riesgos modificables, como patologías infecciosas o trastornos metabólicos, y asegura una atención adecuada durante todo el embarazo.",5,0.7692,0.9008,0.3667,1.0,0.759,913,230,1143,0.004582,3.772
3,¿Cuándo se considera inicio tardío de controles prenatales?,después de la semana 16 – 18,hyde,HyDE RAG (Hypothetical Documents),"El inicio tardío de los controles prenatales se considera cuando una gestante comienza su control prenatal después de la semana 26 de gestación. Según el contexto proporcionado, se recomienda que el primer control prenatal se realice en el primer trimestre, idealmente antes de la semana 10 de gestación. Sin embargo, si el control prenatal se inicia después de la semana 26, se clasifica como tardío y se sugiere que en este primer control se realicen todas las actividades recomendadas para los controles previos, además de las correspondientes a la consulta actual. Esto es importante para garantizar que se cumplan los objetivos del control prenatal y se brinde la educación necesaria a la gestante.",5,1.0,0.9793,0.0,0.0,0.495,941,810,1751,0.004398,10.036
3,¿Cuándo se considera inicio tardío de controles prenatales?,después de la semana 16 – 18,rewriter,Rewriter RAG (Multi-Query),El inicio tardío de controles prenatales se considera cuando una gestante comienza su control prenatal después de la semana 26 de gestación.,8,1.0,0.981,0.0,0.0,0.495,359,169,528,0.000433,4.899
3,¿Cuándo se considera inicio tardío de controles prenatales?,después de la semana 16 – 18,simple,Simple Semantic RAG,"El inicio tardío de los controles prenatales se considera cuando una gestante comienza su control prenatal después de la semana 26 de gestación. Según el Documento 2, se recomienda que cuando una gestante inicie tardíamente su control prenatal, especialmente después de la semana 26, se realicen en su primer control todas las actividades recomendadas para los controles previos, así como aquellas que correspondan a la consulta actual. Esto sugiere que el inicio tardío se define a partir de este punto en el embarazo.",5,1.0,0.9757,0.0,0.0,0.494,765,109,874,0.003002,2.156
3,¿Cuándo se considera inicio tardío de controles prenatales?,después de la semana 16 – 18,hybrid,Hybrid RAG (BM25 + Semantic),"El inicio tardío de los controles prenatales se considera cuando una gestante comienza su control prenatal después de la semana 26 de gestación. En estos casos, se recomienda que en el primer control se realicen todas las actividades recomendadas para los controles previos, además de aquellas que correspondan a la consulta actual. Esto es importante para asegurar que se aborden todos los aspectos necesarios para el bienestar de la madre y el feto, a pesar del inicio tardío de la atención prenatal.",5,1.0,0.9603,0.0,0.0,0.49,870,101,971,0.003185,2.447
4,¿Cuál es la cantidad ideal de controles prenatales?,se recomienda un programa de diez citas. Para una mujer multípara con un embarazo de curso normal se recomienda un programa de siete citas,hyde,HyDE RAG (Hypothetical Documents),"La cantidad ideal de controles prenatales varía dependiendo de si la mujer es nulípara (es decir, si es su primer embarazo) o multípara (ha tenido embarazos previos) y si el embarazo es de curso normal. Según el contexto proporcionado:

1. **Para una mujer nulípara con un embarazo de curso normal**, se recomienda un programa de diez citas prenatales. Esto se debe a que un seguimiento más cercano puede ayudar a identificar y manejar cualquier complicación potencial de manera oportuna, asegurando así un embarazo saludable tanto para la madre como para el bebé.

2. **Para una mujer multípara con un embarazo de curso normal**, se recomienda un programa de siete citas prenatales. La experiencia previa de la mujer con embarazos puede permitir un número ligeramente reducido de citas, siempre y cuando el embarazo actual no presente complicaciones.

Es importante destacar que no se recomienda un programa de control prenatal con un número reducido de citas, ya que esto se asocia con un aumento de la mortalidad perinatal. Por lo tanto, es crucial seguir las recomendaciones establecidas para asegurar un monitoreo adecuado de la salud materna y fetal durante el embarazo.

Además, se enfatiza la importancia de proporcionar información adecuada y por escrito a las mujeres al inicio del embarazo sobre el número probable de citas, su duración y contenido, permitiendo así una planificación y discusión adecuada con el equipo de salud.",5,0.7692,0.9606,1.0,1.0,0.932,979,1001,1980,0.006026,11.837
4,¿Cuál es la cantidad ideal de controles prenatales?,se recomienda un programa de diez citas. Para una mujer multípara con un embarazo de curso normal se recomienda un programa de siete citas,simple,Simple Semantic RAG,"La cantidad ideal de controles prenatales para un embarazo de curso normal no se especifica de manera exacta en el contexto proporcionado. Sin embargo, se menciona que un esquema con un número mayor de controles, entre 10 a 12, podría ser igualmente eficaz en términos de mortalidad y morbilidad materna y neonatal, comparado con esquemas con un número reducido de controles. Además, se destaca que un número reducido de citas se asocia con un aumento de la mortalidad perinatal en países en vías de desarrollo.

Por lo tanto, aunque no se proporciona un número exacto, la evidencia sugiere que un esquema con alrededor de 10 a 12 controles prenatales podría ser considerado ideal para asegurar una supervisión efectiva de la salud de la mujer durante el embarazo y minimizar riesgos perinatales.",5,1.0,0.0,0.9167,0.0,0.479,769,170,939,0.003623,3.471
4,¿Cuál es la cantidad ideal de controles prenatales?,se recomienda un programa de diez citas. Para una mujer multípara con un embarazo de curso normal se recomienda un programa de siete citas,rewriter,Rewriter RAG (Multi-Query),"La cantidad ideal de controles prenatales para una gestante con un embarazo de curso normal no se especifica directamente en los Documentos 1 y 2. Sin embargo, se menciona que el control prenatal puede ser realizado por profesionales en enfermería capacitados o por médicos generales en embarazos de bajo riesgo o de curso normal, lo que sugiere que el seguimiento debe ser regular y adecuado para garantizar la salud de la madre y el feto. 

Detalles específicos del contexto:
- En embarazos de curso normal, el control prenatal puede ser realizado por profesionales en enfermería capacitados o por médicos generales (Documento 2).

Limitaciones de la información disponible:
- No se proporciona un número específico de controles prenatales en los Documentos 1 y 2.",8,0.8333,0.0,0.8056,0.0,0.41,350,127,477,0.000365,10.176
4,¿Cuál es la cantidad ideal de controles prenatales?,se recomienda un programa de diez citas. Para una mujer multípara con un embarazo de curso normal se recomienda un programa de siete citas,hybrid,Hybrid RAG (BM25 + Semantic),"El contexto proporcionado no ofrece una respuesta directa sobre la cantidad ideal de controles prenatales. Sin embargo, se menciona que un modelo de control prenatal con un número reducido de citas se asocia con un aumento de la mortalidad perinatal en países en vías de desarrollo (Documento 4). Esto sugiere que un número adecuado de controles prenatales es crucial para la salud materna y fetal.

Para proporcionar una respuesta más precisa, sería necesario contar con información específica sobre las recomendaciones actuales de las organizaciones de salud, como la Organización Mundial de la Salud (OMS) o guías nacionales de salud, que suelen establecer un número mínimo de visitas prenatales recomendadas para embarazos de curso normal. Estas recomendaciones generalmente se basan en evidencia que busca optimizar los resultados de salud tanto para la madre como para el bebé.

En ausencia de esta información específica en el contexto, se puede inferir que un enfoque más frecuente y regular en los controles prenatales es preferible para monitorear adecuadamente el bienestar materno y fetal, prevenir complicaciones y asegurar intervenciones oportunas cuando sea necesario.",5,0.8,0.0,0.5,0.0,0.325,955,224,1179,0.004627,5.023
5,¿Con cuál herramienta realizo la valoración de riesgo psico social en los controles prenatales?,"Se recomienda que las gestantes de bajo riesgo reciban en el momento de la inscripción al control prenatal, y luego en cada trimestre, una valoración de riesgo psicosocial",simple,Simple Semantic RAG,"La valoración del riesgo psicosocial en los controles prenatales puede realizarse utilizando la escala ""Antenatal Psychosocial Health Assessment"" (ALPHA). Según el Documento 4, un estudio controlado comparó esta escala con la consulta rutinaria de control prenatal y encontró que la escala ALPHA identificó un mayor número de problemas psicosociales que el control prenatal de rutina, con un odds ratio (OR) de 1,8 y un intervalo de confianza (IC) del 95% entre 1,3 y 0. Esto sugiere que la escala ALPHA es una herramienta efectiva para la detección de factores de riesgo psicosociales durante el embarazo. Además, el contexto indica que la evaluación del riesgo psicosocial es un componente importante del control prenatal, y su implementación puede ayudar a identificar rápidamente a las mujeres que necesitan atención especializada.",5,0.875,0.8247,1.0,1.0,0.925,731,179,910,0.003618,2.971
5,¿Con cuál herramienta realizo la valoración de riesgo psico social en los controles prenatales?,"Se recomienda que las gestantes de bajo riesgo reciban en el momento de la inscripción al control prenatal, y luego en cada trimestre, una valoración de riesgo psicosocial",hybrid,Hybrid RAG (BM25 + Semantic),"Para realizar la valoración de riesgo psicosocial en los controles prenatales, se recomienda utilizar herramientas estructuradas que permitan identificar de manera efectiva los factores de riesgo psicosociales. Según el contexto proporcionado, una de las herramientas mencionadas es la escala ""Antenatal Psychosocial Health Assessment"" (ALPHA). Esta escala ha demostrado ser más efectiva que la consulta rutinaria de control prenatal para la detección de problemas psicosociales, identificando un mayor número de estos problemas (OR=1,8; IC 95%= 1,3,0).

Además, se sugiere que la evaluación de riesgos psicosociales se realice de manera rutinaria durante el control prenatal, aunque no existe un consenso sobre si debe hacerse de manera informal o mediante una escala de clasificación de riesgo. Sin embargo, el uso de escalas como ALPHA puede facilitar la clasificación de las gestantes en categorías de riesgo, lo que permite una mejor planificación del cuidado prenatal.

Por lo tanto, se recomienda implementar la escala ALPHA en los controles prenatales para una evaluación más precisa de los riesgos psicosociales, garantizando así una atención adecuada y oportuna a las gestantes que lo requieran.",5,0.5455,0.8894,0.8042,1.0,0.81,914,250,1164,0.004785,4.44
5,¿Con cuál herramienta realizo la valoración de riesgo psico social en los controles prenatales?,"Se recomienda que las gestantes de bajo riesgo reciban en el momento de la inscripción al control prenatal, y luego en cada trimestre, una valoración de riesgo psicosocial",hyde,HyDE RAG (Hypothetical Documents),"La información proporcionada en el contexto médico no especifica una herramienta particular para la valoración de riesgo psicosocial en los controles prenatales. Sin embargo, se menciona que no existe consenso sobre cómo explorar estos factores de riesgo, ya sea de manera informal o mediante una escala de clasificación de riesgo. Las escalas de riesgo podrían ser útiles para clasificar a las gestantes en categorías de bajo riesgo, pero no se detalla una herramienta específica.

Por lo tanto, la respuesta es que no hay información suficiente en el contexto proporcionado para identificar una herramienta específica para la valoración de riesgo psicosocial en los controles prenatales. Se sugiere que la evaluación se realice de manera rutinaria y que, si se identifica un riesgo, se remita a la gestante a una consulta especializada para garantizar la continuidad del cuidado.",5,1.0,0.0,1.0,1.0,0.75,938,689,1627,0.004405,9.054
5,¿Con cuál herramienta realizo la valoración de riesgo psico social en los controles prenatales?,"Se recomienda que las gestantes de bajo riesgo reciban en el momento de la inscripción al control prenatal, y luego en cada trimestre, una valoración de riesgo psicosocial",rewriter,Rewriter RAG (Multi-Query),"No existe consenso sobre qué instrumento debe usarse para la valoración de riesgo psicosocial en los controles prenatales. Sin embargo, se recomienda que la detección de violencia se realice por medio de una entrevista en todas las consultas de control prenatal. Además, se menciona que las gestantes de bajo riesgo deben recibir una valoración de riesgo psicosocial al momento de la inscripción al control prenatal y luego en cada trimestre.",8,1.0,0.0,0.9094,1.0,0.727,383,237,620,0.000547,5.82
6,¿Cuándo realizar la valoración de riesgo psico social en el seguimiento de una materna?,Se recomienda evaluar el riesgo biológico y psicosocial a todas las gestantes mediante la escala de Herrera & Hurtado,simple,Simple Semantic RAG,"La valoración de riesgo psicosocial en el seguimiento de una gestante debe realizarse de manera rutinaria durante el control prenatal. Según el contexto proporcionado, se recomienda que esta valoración se lleve a cabo en el momento de la inscripción al control prenatal y luego en cada trimestre del embarazo. Esto implica que la evaluación debe realizarse al menos tres veces durante el embarazo: una vez al inicio del control prenatal y posteriormente una vez en cada trimestre. Si se identifica algún riesgo psicosocial, la gestante debe ser remitida a una consulta especializada para garantizar la continuidad del cuidado con el grupo a cargo del control prenatal. Además, se sugiere evaluar específicamente el estrés materno crónico, la ansiedad, los trastornos del sueño, el pobre apoyo de la red social y realizar un tamizaje para la depresión materna trimestralmente, ya que estos factores están asociados con desenlaces adversos del embarazo, como el parto pretérmino y el bajo peso al nacer.",5,1.0,0.9634,1.0,1.0,0.991,750,200,950,0.003875,4.276
